id_data,data_pregao
1102,2004-06-08
1103,2004-06-09
1104,2004-06-11
1105,2004-06-14
1106,2004-06-15
1107,2004-06-16
1108,2004-06-17
1109,2004-06-18
1110,2004-06-21
1111,2004-06-22
1112,2004-06-23
1113,2004-06-24
1114,2004-06-25
1115,2004-06-28
1116,2004-06-29
1117,2004-06-30
1118,2004-07-01
1119,2004-07-02
1120,2004-07-05
1121,2004-07-06
1122,2004-07-07
1123,2004-07-08
1124,2004-07-12
1125,2004-07-13
1126,2004-07-14
1127,2004-07-15
1128,2004-07-16
1129,2004-07-19
1130,2004-07-20
1131,2004-07-21
1132,2004-07-22
1133,2004-07-23
1134,2004-07-26
1135,2004-07-27
1136,2004-07-28
1137,2004-07-29
1138,2004-07-30
1139,2004-08-02
1140,2004-08-03
1141,2004-08-04
1142,2004-08-05
1143,2004-08-06
1144,2004-08-09
1145,2004-08-10
1146,2004-08-11
1147,2004-08-12
1148,2004-08-13
1149,2004-08-16
1150,2004-08-17
1151,2004-08-18
1152,2004-08-19
1153,2004-08-20
1154,2004-08-23
1155,2004-08-24
1156,2004-08-25
1157,2004-08-26
1158,2004-08-27
1159,2004-08-30
1160,2004-08-31
1161,2004-09-01
1162,2004-09-02
1163,2004-09-03
1164,2004-09-06
1165,2004-09-08
1166,2004-09-09
1167,2004-09-10
1168,2004-09-13
1169,2004-09-14
1170,2004-09-15
1171,2004-09-16
1172,2004-09-17
1173,2004-09-20
1174,2004-09-21
1175,2004-09-22
1176,2004-09-23
1177,2004-09-24
1178,2004-09-27
1179,2004-09-28
1180,2004-09-29
1181,2004-09-30
1182,2004-10-01
1183,2004-10-04
1184,2004-10-05
1185,2004-10-06
1186,2004-10-07
1187,2004-10-08
1188,2004-10-11
1189,2004-10-13
1190,2004-10-14
1191,2004-10-15
1192,2004-10-18
1193,2004-10-19
1194,2004-10-20
1195,2004-10-21
1196,2004-10-22
1197,2004-10-25
1198,2004-10-26
1199,2004-10-27
1200,2004-10-28
1201,2004-10-29
1202,2004-11-01
1203,2004-11-03
1204,2004-11-04
1205,2004-11-05
1206,2004-11-08
1207,2004-11-09
1208,2004-11-10
1209,2004-11-11
1210,2004-11-12
1211,2004-11-16
1212,2004-11-17
1213,2004-11-18
1214,2004-11-19
1215,2004-11-22
1216,2004-11-23
1217,2004-11-24
1218,2004-11-25
1219,2004-11-26
1220,2004-11-29
1221,2004-11-30
1222,2004-12-01
1223,2004-12-02
1224,2004-12-03
1225,2004-12-06
1226,2004-12-07
1227,2004-12-08
1228,2004-12-09
1229,2004-12-10
1230,2004-12-13
1231,2004-12-14
1232,2004-12-15
1233,2004-12-16
1234,2004-12-17
1235,2004-12-20
1236,2004-12-21
1237,2004-12-22
1238,2004-12-23
1239,2004-12-27
1240,2004-12-28
1241,2004-12-29
1242,2004-12-30
1243,2005-01-03
1244,2005-01-04
1245,2005-01-05
1246,2005-01-06
1247,2005-01-07
1248,2005-01-10
1249,2005-01-11
1250,2005-01-12
1251,2005-01-13
1252,2005-01-14
1253,2005-01-17
1254,2005-01-18
1255,2005-01-19
1256,2005-01-20
1257,2005-01-21
1258,2005-01-24
1259,2005-01-26
1260,2005-01-27
1261,2005-01-28
1262,2005-01-31
1263,2005-02-01
1264,2005-02-02
1265,2005-02-03
1266,2005-02-04
1267,2005-02-09
1268,2005-02-10
1269,2005-02-11
1270,2005-02-14
1271,2005-02-15
1272,2005-02-16
1273,2005-02-17
1274,2005-02-18
1275,2005-02-21
1276,2005-02-22
1277,2005-02-23
1278,2005-02-24
1279,2005-02-25
1280,2005-02-28
1281,2005-03-01
1282,2005-03-02
1283,2005-03-03
1284,2005-03-04
1285,2005-03-07
1286,2005-03-08
1287,2005-03-09
1288,2005-03-10
1289,2005-03-11
1290,2005-03-14
1291,2005-03-15
1292,2005-03-16
1293,2005-03-17
1294,2005-03-18
1295,2005-03-21
1296,2005-03-22
1297,2005-03-23
1298,2005-03-24
1299,2005-03-28
1300,2005-03-29
1301,2005-03-30
1302,2005-03-31
1303,2005-04-01
1304,2005-04-04
1305,2005-04-05
1306,2005-04-06
1307,2005-04-07
1308,2005-04-08
1309,2005-04-11
1310,2005-04-12
1311,2005-04-13
1312,2005-04-14
1313,2005-04-15
1314,2005-04-18
1315,2005-04-19
